Year,Pick,Tm,Player,Modified WS,Expected Pick Value,Delta WS
2003,27,MEM/VAN,Kendrick Perkins,27.2,12.8520675,14.3479325
1998,2,MEM/VAN,Mike Bibby,73.2,61.798640377,11.401359623
1996,3,MEM/VAN,Shareef Abdur-Rahim,71.2,60.7732833333,10.4267166667
2005,19,MEM/VAN,Hakim Warrick,20.4,14.911735,5.488265
2001,27,MEM/VAN,Jamaal Tinsley,17.2,12.8520675,4.3479325
2009,36,MEM/VAN,Sam Young,6.513,3.29679,3.21621
2007,4,MEM/VAN,Mike Conley,63.2853333333,60.0890666667,3.1962666667
1995,36,MEM/VAN,Lawrence Moten,0,3.29679,-3.29679
1999,51,MEM/VAN,Antwain Smith,0,3.405,-3.405
1996,51,MEM/VAN,Chris Robinson,-0.1,3.405,-3.505
1997,52,MEM/VAN,C.J. Bruton,0,3.74055,-3.74055
2004,49,MEM/VAN,Sergei Lishouk,0,4.02,-4.02
1998,56,MEM/VAN,J.R. Henderson,-0.2,4.2750333333,-4.4750333333
2009,27,MEM/VAN,DeMarre Carroll,7.13925,12.8520675,-5.7128175
2002,31,MEM/VAN,Robert Archibald,0,6.46287,-6.46287
2001,32,MEM/VAN,Will Solomon,0,7.317525,-7.317525
1999,2,MEM/VAN,Steve Francis,54.1,61.798640377,-7.698640377
2001,47,MEM/VAN,Antonis Fotsis,0.1,9.7957542857,-9.6957542857
1996,22,MEM/VAN,Roy Rogers,1.7,11.41665875,-9.71665875
1995,6,MEM/VAN,Bryant Reeves,13,23.838530119,-10.838530119
1999,37,MEM/VAN,Obinna Ekezie,1.7,13.372155,-11.672155
2008,28,MEM/VAN,Donte Greene,1.503,13.18575,-11.68275
1997,4,MEM/VAN,Antonio Daniels,47,60.0890666667,-13.0890666667
2002,4,MEM/VAN,Drew Gooden,40.8,60.0890666667,-19.2890666667
2003,13,MEM/VAN,Marcus Banks,6.6,34.6501532143,-28.0501532143
2000,2,MEM/VAN,Stromile Swift,21.3,61.798640377,-40.498640377
2009,2,MEM/VAN,Hasheem Thabeet,4.8,61.798640377,-56.998640377
2007,48,LAL,Marc Gasol,79.424,7.4612,71.9628
1994,10,LAL,Eddie Jones,100.6,44.26679125,56.33320875
1990,27,LAL,Elden Campbell,62.8,12.8520675,49.9479325
1993,37,LAL,Nick Van Exel,55.9,13.372155,42.527845
1996,24,LAL,Derek Fisher,59.6,26.1274083333,33.4725916667
1998,31,LAL,Ruben Patterson,35.1,6.46287,28.63713
1993,12,LAL,George Lynch,32.3,16.97208,15.32792
1992,15,LAL,Anthony Peeler,30.7,23.7691355556,6.9308644444
2003,32,LAL,Luke Walton,13.5,7.317525,6.182475
2005,37,LAL,Ronny Turiaf,17.7,13.372155,4.327845
1990,51,LAL,Tony Smith,6.7,3.405,3.295
2004,27,LAL,Sasha Vujacic,14.8,12.8520675,1.9479325
2009,29,LAL,Toney Douglas,15.74925,14.0750425,1.6742075
2009,42,LAL,Patrick Beverley,6.4515,6.3600035714,0.0914964286
2009,59,LAL,Chinemelu Elonu,0,-0.0666666667,0.0666666667
1999,23,LAL,Devean George,18.2,18.6894933333,-0.4894933333
1997,53,LAL,Paul Rogers,0,1.132675,-1.132675
2008,58,LAL,Joe Crawford,0,1.325,-1.325
2005,10,LAL,Andrew Bynum,42.941625,44.26679125,-1.32516625
2005,39,LAL,Von Wafer,3.3,5.4598025,-2.1598025
1997,51,LAL,DeJuan Wheat,0.5,3.405,-2.905
2006,51,LAL,Cheikh Samb,-0.1,3.405,-3.505
1991,52,LAL,Anthony Jones,0,3.74055,-3.74055
1992,36,LAL,Duane Cooper,-0.5,3.29679,-3.79679
2004,56,LAL,Marcus Douthit,0,4.2750333333,-4.2750333333
2007,40,LAL,Sun Yue,-0.1,4.5327125,-4.6327125
2006,26,LAL,Jordan Farmar,12.8,18.3573122222,-5.5573122222
2000,29,LAL,Mark Madsen,8.2,14.0750425,-5.8750425
1998,45,LAL,Toby Bailey,1,13.12512,-12.12512
2002,27,LAL,Chris Jefferies,-0.5,12.8520675,-13.3520675
1995,37,LAL,Frankie King,0,13.372155,-13.372155
1999,30,LAL,John Celestand,-0.1,14.1725333333,-14.2725333333
2007,19,LAL,Javaris Crittenton,0.1,14.911735,-14.811735
2003,24,LAL,Brian Cook,10.2,26.1274083333,-15.9274083333
1998,26,LAL,Sam Jacobson,1.1,18.3573122222,-17.2573122222
2008,35,LAC,DeAndre Jordan,33.2442,4.9488992857,28.2953007143
1999,4,LAC,Lamar Odom,77,60.0890666667,16.9109333333
2001,2,LAC,Tyson Chandler,74,61.798640377,12.201359623
2000,18,LAC,Quentin Richardson,32.8,20.8369475,11.9630525
2009,1,LAC,Blake Griffin,87.312,77.4647361905,9.8472638095
1995,2,LAC,Antonio McDyess,69.8,61.798640377,8.001359623
1998,22,LAC,Brian Skinner,15.8,11.41665875,4.38334125
2002,8,LAC,Chris Wilcox,26.9,25.5308821429,1.3691178571
1990,13,LAC,Loy Vaught,35.8,34.6501532143,1.1498467857
1991,37,LAC,Elliot Perry,14,13.372155,0.627845
2008,7,LAC,Eric Gordon,34.5984,34.0098166667,0.5885833333
1995,53,LAC,Constantin Popa,0,1.132675,-1.132675
1993,53,LAC,Leonard White,0,1.132675,-1.132675
2000,30,LAC,Marko Jaric,12.1,14.1725333333,-2.0725333333
2003,6,LAC,Chris Kaman,20.7,23.838530119,-3.138530119
1996,36,LAC,Doron Sheffer,0,3.29679,-3.29679
1996,7,LAC,Lorenzen Wright,30.5,34.0098166667,-3.5098166667
2002,40,LAC,Mario Kasun,0.8,4.5327125,-3.7327125
2006,52,LAC,Guillermo Diaz,0,3.74055,-3.74055
2004,33,LAC,Lionel Chalmers,-0.2,4.9527125,-5.1527125
1994,25,LAC,Greg Minor,8.2,13.38046,-5.18046
1991,38,LAC,Joe Wylie,0,5.2843166667,-5.2843166667
1997,14,LAC,Maurice Taylor,9.9,15.9775807143,-6.0775807143
1999,31,LAC,Rico Hill,0,6.46287,-6.46287
2005,32,LAC,Daniel Ewing,0.8,7.317525,-6.517525
2007,14,LAC,Al Thornton,9.3635,15.9775807143,-6.6140807143
2006,34,LAC,Paul Davis,0.5,8.74594,-8.24594
2003,34,LAC,Sofoklis Schortsanitis,0,8.74594,-8.74594
1991,22,LAC,LeRon Ellis,1.2,11.41665875,-10.21665875
2002,12,LAC,Melvin Ely,4,16.97208,-12.97208
2007,45,LAC,Jared Jordan,0,13.12512,-13.12512
1992,25,LAC,Elmore Spencer,0,13.38046,-13.38046
1994,7,LAC,Lamond Murray,19.8,34.0098166667,-14.2098166667
1992,16,LAC,Randy Woods,0.6,16.8012475,-16.2012475
2005,12,LAC,Yaroslav Korolev,-0.1,16.97208,-17.07208
1990,8,LAC,Bo Kimble,0.1,25.5308821429,-25.4308821429
1993,13,LAC,Terry Dehere,7.3,34.6501532143,-27.3501532143
2004,4,LAC,Shaun Livingston,11.8,60.0890666667,-48.2890666667
2000,3,LAC,Darius Miles,9.5,60.7732833333,-51.2732833333
1998,1,LAC,Michael Olowokandi,2.5,77.4647361905,-74.9647361905
1991,13,IND,Dale Davis,86.9,34.6501532143,52.2498467857
1990,45,IND,Antonio Davis,59.6,13.12512,46.47488
2005,17,IND,Danny Granger,63.376,24.5110622222,38.8649377778
1998,25,IND,Al Harrington,42.1,13.38046,28.71954
1995,52,IND,Fred Hoiberg,27.6,3.74055,23.85945
2003,49,IND,James Jones,21.1,4.02,17.08
1995,23,IND,Travis Best,30.9,18.6894933333,12.2105066667
1997,12,IND,Austin Croshere,27.6,16.97208,10.62792
1996,10,IND,Erick Dampier,52.7,44.26679125,8.43320875
1994,15,IND,Eric Piatkowski,31,23.7691355556,7.2308644444
1990,46,IND,Kenny Williams,7.4,3.3440125,4.0559875
2009,52,IND,A.J. Price,5.511,3.74055,1.77045
1992,14,IND,Malik Sealy,17.1,15.9775807143,1.1224192857
2002,14,IND,Fred Jones,16.5,15.9775807143,0.5224192857
2004,59,IND,Rashad Wright,0,-0.0666666667,0.0666666667
2000,27,IND,Primoz Brezec,10.8,12.8520675,-2.0520675
1996,52,IND,Mark Pope,1.3,3.74055,-2.44055
2005,46,IND,Erazem Lorbek,0,3.3440125,-3.3440125
1993,51,IND,Spencer Dunkley,0,3.405,-3.405
1994,44,IND,Damon Bailey,0,3.6122125,-3.6122125
2000,56,IND,Jaquay Walls,0,4.2750333333,-4.2750333333
2001,40,IND,Jamison Brewer,0,4.5327125,-4.5327125
1993,39,IND,Thomas Hill,0,5.4598025,-5.4598025
2008,41,IND,Nathan Jawai,0.2,7.735175,-7.535175
1994,41,IND,William Njoku,0,7.735175,-7.735175
1991,41,IND,Sean Green,-1.3,7.735175,-9.035175
2008,11,IND,Jerryd Bayless,10.7214,21.2969092857,-10.5755092857
2004,29,IND,David Harrison,3.2,14.0750425,-10.8750425
2006,45,IND,Alexander Johnson,1.5,13.12512,-11.62512
1993,14,IND,Scott Haskin,0.3,15.9775807143,-15.6775807143
1999,26,IND,Vonteego Cummings,2.2,18.3573122222,-16.1573122222
2009,13,IND,Tyler Hansbrough,17.40975,34.6501532143,-17.2404032143
2006,17,IND,Shawne Williams,4.5,24.5110622222,-20.0110622222
1993,24,HOU,Sam Cassell,87.5,26.1274083333,61.3725916667
1992,11,HOU,Robert Horry,66.3,21.2969092857,45.0030907143
1998,41,HOU,Cuttino Mobley,52.2,7.735175,44.464825
2001,13,HOU,Richard Jefferson,73.2,34.6501532143,38.5498467857
2008,25,HOU,Nicolas Batum,48.9972,13.38046,35.61674
2006,8,HOU,Rudy Gay,48.6491428571,25.5308821429,23.1182607143
1999,22,HOU,Kenny Thomas,31.2,11.41665875,19.78334125
2000,38,HOU,Eduardo Najera,24.7,5.2843166667,19.4156833333
1992,41,HOU,Popeye Jones,22,7.735175,14.264825
1996,30,HOU,Othella Harrington,23.1,14.1725333333,8.9274666667
2006,32,HOU,Steve Novak,13.1,7.317525,5.782475
2001,18,HOU,Jason Collins,20,20.8369475,-0.8369475
1991,51,HOU,Zan Tabak,2.4,3.405,-1.005
1994,53,HOU,Albert Burditt,0,1.132675,-1.132675
1992,53,HOU,Curtis Blair,0,1.132675,-1.132675
2007,26,HOU,Aaron Brooks,16.8245,18.3573122222,-1.5328122222
1999,50,HOU,Venson Hamilton,0,1.8817125,-1.8817125
1996,50,HOU,Terrell Bell,0,1.8817125,-1.8817125
1993,50,HOU,Marcelo Nicola,0,1.8817125,-1.8817125
2008,54,HOU,Maarty Leunen,0,2.71,-2.71
2007,54,HOU,Brad Newley,0,2.71,-2.71
1993,46,HOU,Richard Petruska,0,3.3440125,-3.3440125
2003,44,HOU,Malick Badiane,0,3.6122125,-3.6122125
1999,44,HOU,Tyrone Washington,0,3.6122125,-3.6122125
2004,55,HOU,Luis Flores,0,3.6973133333,-3.6973133333
1996,42,HOU,Randy Livingston,2.3,6.3600035714,-4.0600035714
1998,14,HOU,Michael Dickerson,9.6,15.9775807143,-6.3775807143
1995,41,HOU,Erik Meek,0,7.735175,-7.735175
1991,47,HOU,Keith Hughes,0,9.7957542857,-9.7957542857
2005,24,HOU,Luther Head,14.7,26.1274083333,-11.4274083333
2002,1,HOU,Yao Ming,65.9,77.4647361905,-11.5647361905
1991,20,HOU,John Turner,-0.1,13.1228166667,-13.2228166667
2002,37,HOU,Tito Maddox,0,13.372155,-13.372155
1997,29,HOU,Serge Zwikker,0,14.0750425,-14.0750425
1998,16,HOU,Bryce Drew,2.4,16.8012475,-14.4012475
1990,12,HOU,Alec Kessler,2,16.97208,-14.97208
2002,15,HOU,Bostjan Nachbar,8.7,23.7691355556,-15.0691355556
2001,23,HOU,Brandon Armstrong,-0.6,18.6894933333,-19.2894933333
1998,18,HOU,Mirsad Turkcan,0,20.8369475,-20.8369475
2000,9,HOU,Joel Przybilla,23,45.0857644444,-22.0857644444
1997,24,HOU,Rodrick Rhodes,-1.6,26.1274083333,-27.7274083333
1998,5,GSW,Vince Carter,112.1,59.0318266667,53.0681733333
2009,7,GSW,Stephen Curry,74.256,34.0098166667,40.2461833333
2001,30,GSW,Gilbert Arenas,51.3,14.1725333333,37.1274666667
2005,40,GSW,Monta Ellis,40.664,4.5327125,36.1312875
1990,11,GSW,Tyrone Hill,56.2,21.2969092857,34.9030907143
2001,14,GSW,Troy Murphy,50.3,15.9775807143,34.3224192857
1992,24,GSW,Latrell Sprewell,56.3,26.1274083333,30.1725916667
1999,21,GSW,Jeff Foster,47.5,26.8868296429,20.6131703571
1991,16,GSW,Chris Gatling,32.1,16.8012475,15.2987525
1995,34,GSW,Andrew DeClercq,19.3,8.74594,10.55406
2004,11,GSW,Andris Biedrins,30.8,21.2969092857,9.5030907143
1993,3,GSW,Anfernee Hardaway,61.9,60.7732833333,1.1267166667
2001,5,GSW,Jason Richardson,58.7,59.0318266667,-0.3318266667
1997,37,GSW,Marc Jackson,13,13.372155,-0.372155
1992,50,GSW,Matt Fish,0.6,1.8817125,-1.2817125
2003,11,GSW,Mickael Pietrus,19.7,21.2969092857,-1.5969092857
1994,39,GSW,Anthony Miller,3.8,5.4598025,-1.6598025
1995,50,GSW,Martin Lewis,0.1,1.8817125,-1.7817125
2007,46,GSW,Stephane Lasme,0.3,3.3440125,-3.0440125
2007,36,GSW,Jermareo Davidson,0,3.29679,-3.29679
2000,55,GSW,Chris Porter,0.2,3.6973133333,-3.4973133333
1995,55,GSW,Michael McDonald,-0.1,3.6973133333,-3.7973133333
2008,49,GSW,Richard Hendrix,0,4.02,-4.02
1999,56,GSW,Tim Young,0.2,4.2750333333,-4.0750333333
2003,40,GSW,Derrick Zimmerman,0,4.5327125,-4.5327125
1996,40,GSW,Marcus Mann,0,4.5327125,-4.5327125
1995,40,GSW,Dwayne Whitfield,0,4.5327125,-4.5327125
2007,18,GSW,Marco Belinelli,15.686,20.8369475,-5.1509475
2006,38,GSW,Kosta Perovic,0,5.2843166667,-5.2843166667
2005,42,GSW,Chris Taft,0.5,6.3600035714,-5.8600035714
1997,8,GSW,Adonal Foyle,18.7,25.5308821429,-6.8308821429
1992,43,GSW,Sasha Danilovic,4.2,11.234075,-7.034075
1990,34,GSW,Kevin Pritchard,0.4,8.74594,-8.34594
1993,34,GSW,Darnell Mee,-0.1,8.74594,-8.84594
2008,14,GSW,Anthony Randolph,5.2104,15.9775807143,-10.7671807143
1991,43,GSW,Lamont Strothers,-0.5,11.234075,-11.734075
1994,16,GSW,Clifford Rozier,3.9,16.8012475,-12.9012475
1994,45,GSW,Dwayne Morton,0.2,13.12512,-12.92512
1990,28,GSW,Les Jepsen,0.1,13.18575,-13.08575
1991,25,GSW,Shaun Vandiver,0,13.38046,-13.38046
2002,29,GSW,Steve Logan,0,14.0750425,-14.0750425
2002,3,GSW,Mike Dunleavy,46.6,60.7732833333,-14.1732833333
1991,17,GSW,Victor Alexander,8.8,24.5110622222,-15.7110622222
1995,1,GSW,Joe Smith,60.3,77.4647361905,-17.1647361905
1996,11,GSW,Todd Fuller,2.2,21.2969092857,-19.0969092857
2005,9,GSW,Ike Diogu,6.5,45.0857644444,-38.5857644444
2006,9,GSW,Patrick O'Bryant,0.5,45.0857644444,-44.5857644444
2001,37,DET,Mehmet Okur,54.7,13.372155,41.327845
2002,23,DET,Tayshaun Prince,58.8,18.6894933333,40.1105066667
1994,3,DET,Grant Hill,99.9,60.7732833333,39.1267166667
1993,11,DET,Allan Houston,55.3,21.2969092857,34.0030907143
1995,18,DET,Theo Ratliff,47.9,20.8369475,27.0630525
2005,56,DET,Amir Johnson,29.2,4.2750333333,24.9249666667
2007,27,DET,Arron Afflalo,36.6865,12.8520675,23.8344325
1996,26,DET,Jerome Williams,37.9,18.3573122222,19.5426877778
2009,44,DET,Chase Budinger,19.54425,3.6122125,15.9320375
2009,39,DET,Jonas Jerebko,18.78525,5.4598025,13.3254475
1995,58,DET,Don Reid,13.7,1.325,12.375
2000,44,DET,Brian Cardinal,15.4,3.6122125,11.7877875
1997,19,DET,Scot Pollard,26.6,14.911735,11.688265
2007,15,DET,Rodney Stuckey,33.77,23.7691355556,10.0008644444
2003,25,DET,Carlos Delfino,22.5,13.38046,9.11954
1998,11,DET,Bonzi Wells,29.4,21.2969092857,8.1030907143
2005,26,DET,Jason Maxiell,18.9,18.3573122222,0.5426877778
2008,59,DET,Deron Washington,0,-0.0666666667,0.0666666667
2006,60,DET,Will Blalock,-0.1,0.30072,-0.40072
2005,60,DET,Alex Acker,-0.2,0.30072,-0.50072
2003,58,DET,Andreas Glyniadakis,-0.2,1.325,-1.525
1991,40,DET,Doug Overton,2.5,4.5327125,-2.0327125
2004,54,DET,Rickey Paulding,0,2.71,-2.71
1999,54,DET,Melvin Levett,0,2.71,-2.71
1998,40,DET,Korleone Young,0.1,4.5327125,-4.4327125
2009,35,DET,DaJuan Summers,-0.1,4.9488992857,-5.0488992857
1992,19,DET,Don MacLean,9.4,14.911735,-5.511735
1997,31,DET,Charles O'Bannon,0.6,6.46287,-5.86287
1994,48,DET,Jevon Crudup,0,7.4612,-7.4612
2007,57,DET,Sammy Mejia,0,7.7666666667,-7.7666666667
2008,29,DET,D.J. White,3.8076,14.0750425,-10.2674425
1993,10,DET,Lindsey Hunter,32.9,44.26679125,-11.36679125
1995,30,DET,Lou Roe,0,14.1725333333,-14.1725333333
1995,19,DET,Randolph Childress,-0.2,14.911735,-15.111735
2000,14,DET,Mateen Cleaves,-0.8,15.9775807143,-16.7775807143
1990,26,DET,Lance Blanks,0.7,18.3573122222,-17.6573122222
2009,15,DET,Austin Daye,5.511,23.7691355556,-18.2581355556
2001,9,DET,Rodney White,1.8,45.0857644444,-43.2857644444
2003,2,DET,Darko Milicic,7.1,61.798640377,-54.698640377
1991,4,DEN,Dikembe Mutombo,117,60.0890666667,56.9109333333
1995,15,DEN,Brent Barry,70.5,23.7691355556,46.7308644444
1999,18,DEN,James Posey,51.6,20.8369475,30.7630525
2004,20,DEN,Jameer Nelson,41.5473333333,13.1228166667,28.4245166667
2005,22,DEN,Jarrett Jack,34.652625,11.41665875,23.23596625
2003,3,DEN,Carmelo Anthony,81.1648,60.7732833333,20.3915166667
1994,13,DEN,Jalen Rose,47.2,34.6501532143,12.5498467857
1996,37,DEN,Jeff McInnis,23.1,13.372155,9.727845
1998,55,DEN,Ryan Bowen,12.4,3.6973133333,8.7026866667
2006,49,DEN,Leon Powe,12,4.02,7.98
1999,41,DEN,Francisco Elson,11.7,7.735175,3.964825
1998,23,DEN,Tyronn Lue,19.7,18.6894933333,1.0105066667
1998,54,DEN,Tremaine Fowlkes,2.1,2.71,-0.61
2000,53,DEN,Dan McClintock,0,1.132675,-1.132675
1990,42,DEN,Marcus Liberty,4,6.3600035714,-2.3600035714
1992,46,DEN,Robert Werdann,0.1,3.3440125,-3.2440125
2003,46,DEN,Sani Becirovic,0,3.3440125,-3.3440125
2001,46,DEN,Ousmane Cisse,0,3.3440125,-3.3440125
1995,44,DEN,Anthony Pelle,0,3.6122125,-3.6122125
2005,52,DEN,Axel Hervelle,0,3.74055,-3.74055
1999,33,DEN,Chris Herren,0.5,4.9527125,-4.4527125
1992,13,DEN,Bryant Stith,29.5,34.6501532143,-5.1501532143
1993,9,DEN,Rodney Rogers,38.8,45.0857644444,-6.2857644444
2002,32,DEN,Vincent Yarbrough,1,7.317525,-6.317525
1997,41,DEN,Jason Lawson,0.5,7.735175,-7.235175
1997,32,DEN,James Cotton,0,7.317525,-7.317525
2009,34,DEN,Sergio Llull,0,8.74594,-8.74594
1993,43,DEN,Josh Grant,0.5,11.234075,-10.734075
2005,20,DEN,Julius Hodge,0,13.1228166667,-13.1228166667
2002,25,DEN,Frank Williams,0.1,13.38046,-13.28046
2000,26,DEN,Mamadou N'Diaye,1.8,18.3573122222,-16.5573122222
1996,23,DEN,Efthimi Rentzias,0.2,18.6894933333,-18.4894933333
1998,3,DEN,Raef LaFrentz,39.4,60.7732833333,-21.3732833333
1997,5,DEN,Tony Battie,36.4,59.0318266667,-22.6318266667
1991,8,DEN,Mark Macon,0.1,25.5308821429,-25.4308821429
1992,5,DEN,LaPhonso Ellis,32.8,59.0318266667,-26.2318266667
1990,3,DEN,Mahmoud Abdul-Rauf,25.2,60.7732833333,-35.5732833333
2002,5,DEN,Nikoloz Tskitishvili,-1.6,59.0318266667,-60.6318266667
1994,2,DAL,Jason Kidd,138.6,61.798640377,76.801359623
2003,29,DAL,Josh Howard,41.344,14.0750425,27.2689575
1998,53,DAL,Greg Buckner,20.9,1.132675,19.767325
1993,28,DAL,Lucious Harris,28.7,13.18575,15.51425
1997,15,DAL,Kelvin Cato,28.6,23.7691355556,4.8308644444
1999,40,DAL,Gordan Giricek,8,4.5327125,3.4672875
1992,30,DAL,Sean Rooks,16.2,14.1725333333,2.0274666667
2007,60,DAL,Milovan Rakovic,0,0.30072,-0.30072
1999,36,DAL,Wang Zhizhi,2.1,3.29679,-1.19679
1991,35,DAL,Mike Iuzzolino,3.7,4.9488992857,-1.2488992857
2006,58,DAL,J.R. Pinnock,0,1.325,-1.325
2000,58,DAL,Pete Mickeal,0,1.325,-1.325
1996,58,DAL,Darnell Robinson,0,1.325,-1.325
2007,50,DAL,Renaldas Seibutis,0,1.8817125,-1.8817125
2004,50,DAL,Vassilis Spanoulis,-0.1,1.8817125,-1.9817125
2000,12,DAL,Etan Thomas,14.9,16.97208,-2.07208
2001,53,DAL,Kenny Satterfield,-1.1,1.132675,-2.232675
1993,33,DAL,Eric Riley,2.5,4.9527125,-2.4527125
2002,54,DAL,Mladen Sekularac,0,2.71,-2.71
1991,33,DAL,Donald Hodge,1.8,4.9527125,-3.1527125
2008,51,DAL,Shan Foster,0,3.405,-3.405
1990,49,DAL,Phil Henderson,0,4.02,-4.02
2009,56,DAL,Ahmad Nivins,0,4.2750333333,-4.2750333333
1995,12,DAL,Cherokee Parks,11.8,16.97208,-5.17208
1998,35,DAL,Bruno Sundov,-0.7,4.9488992857,-5.6488992857
2000,31,DAL,Dan Langhi,0.3,6.46287,-6.16287
2003,57,DAL,Xue Yuyang,0,7.7666666667,-7.7666666667
2007,34,DAL,Nick Fazekas,0.8,8.74594,-7.94594
1997,34,DAL,Bubba Wells,0.1,8.74594,-8.64594
1996,34,DAL,Shawn Harvey,0,8.74594,-8.74594
1998,6,DAL,Robert Traylor,13.3,23.838530119,-10.538530119
2001,43,DAL,Kyle Hill,0,11.234075,-11.234075
1998,30,DAL,Ansu Sesay,1.4,14.1725333333,-12.7725333333
1994,28,DAL,Deon Thomas,0,13.18575,-13.18575
1994,19,DAL,Tony Dumas,1.3,14.911735,-13.611735
2006,28,DAL,Maurice Ager,-0.9,13.18575,-14.08575
1993,4,DAL,Jamal Mashburn,43.7,60.0890666667,-16.3890666667
1991,6,DAL,Doug Smith,3,23.838530119,-20.838530119
1992,4,DAL,Jim Jackson,35.8,60.0890666667,-24.2890666667
1995,24,DAL,Loren Meyer,0.5,26.1274083333,-25.6274083333
2009,24,DAL,Byron Mullens,0.2505,26.1274083333,-25.8769083333
1996,9,DAL,Samaki Walker,14.2,45.0857644444,-30.8857644444
2003,1,CLE,LeBron James,170.3808,77.4647361905,92.9160638095
1999,8,CLE,Andre Miller,96.4,25.5308821429,70.8691178571
2002,34,CLE,Carlos Boozer,76,8.74594,67.25406
1996,20,CLE,Zydrunas Ilgauskas,66.3,13.1228166667,53.1771833333
1991,11,CLE,Terrell Brandon,65.9,21.2969092857,44.6030907143
2001,20,CLE,Brendan Haywood,43.8,13.1228166667,30.6771833333
1993,22,CLE,Chris Mills,37.7,11.41665875,26.28334125
2000,8,CLE,Jamal Crawford,46.1,25.5308821429,20.5691178571
2009,46,CLE,Danny Green,22.58025,3.3440125,19.2362375
1997,16,CLE,Brevin Knight,32.6,16.8012475,15.7987525
2006,42,CLE,Daniel Gibson,17.3485714286,6.3600035714,10.9885678571
2008,19,CLE,J.J. Hickson,25.6542,14.911735,10.742465
1997,13,CLE,Derek Anderson,43.9,34.6501532143,9.2498467857
2003,31,CLE,Jason Kapono,10.3,6.46287,3.83713
1995,17,CLE,Bob Sura,28.3,24.5110622222,3.7889377778
1997,44,CLE,Cedric Henderson,3.3,3.6122125,-0.3122125
1996,12,CLE,Vitaly Potapenko,15.5,16.97208,-1.47208
1996,56,CLE,Reggie Geary,0.6,4.2750333333,-3.6750333333
2006,55,CLE,Ejike Ugboaja,0,3.6973133333,-3.6973133333
1990,52,CLE,Stefano Rusconi,-0.1,3.74055,-3.84055
2006,25,CLE,Shannon Brown,9.4,13.38046,-3.98046
